"Estimate","Std..Error","t.value","Pr...t.."
-0.000875184001767518,0.000885305129499166,-0.988567639117404,0.323210077264664
5.78201417974845e-07,2.14235914499527e-06,0.269890050566718,0.787322935248017
-0.00103530537358242,0.000926842133005311,-1.11702450365028,0.264360113711961
1.1633198513026e-06,2.24287497434264e-06,0.518673517075356,0.604149363757188
-0.000477164764326163,0.00115990100618042,-0.411384042072244,0.680914577579303
3.26069487677273e-06,2.80685657981628e-06,1.16168916510375,0.245750481585137
-0.000109472503984661,0.000951611159683951,-0.11503911326662,0.908446508743545
6.87282147681503e-07,2.30281380113746e-06,0.298453199881825,0.765444246548011
-0.001177020719147,0.000605867683285036,-1.94270259269343,0.0524454386806036
2.23578913520307e-06,1.46614554540884e-06,1.52494351069328,0.127716609393898
0.00142550246294604,0.00136801162128531,1.04202511204307,0.297753224882464
-8.06636581322924e-07,3.31046563457548e-06,-0.243662575106708,0.807562250496387
-0.00152700846193053,0.000858485993896247,-1.77872262656283,0.0757112468842295
3.82552607597927e-06,2.07745923816622e-06,1.84144459043927,0.0659716462046741
0.000158558680725535,0.000922426367932857,0.171893048852086,0.863570386895168
-9.22043278725346e-07,2.23218921824579e-06,-0.413066809564627,0.679681856797018
-0.000932720211829425,0.000962955120533103,-0.968601954484713,0.333072269187949
2.8641376899125e-06,2.33026517067759e-06,1.22910376293342,0.219438381367379
0.00104957593351749,0.00100272835462921,1.04672010986027,0.295583389967606
-1.80081858675185e-06,2.42651283597693e-06,-0.742142617196101,0.458245334333106
